ID do museu,Dificuldade locomoção,Deficiencia Visual e Auditiva,Pessoa Estrangeira,Grupos_Acessibilidade_Filtro
80119,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,Não possui,Acesso e mobilidade (Locomoção)
80120,Não informado,Não informado,Não informado,
80121,Elevador,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80122,Corrimão nas escadas e rampas,Não possui,"Guia, monitor e/ou mediador, Sinalização visual","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80123,Não informado,Não informado,Não informado,
80124,Não informado,Não informado,Não informado,
80125,Não possui,Não possui,Não possui,
80126,Não possui,Não possui,Não possui,
80127,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
80128,Não informado,Não informado,Não informado,
80129,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80131,Não informado,Não informado,Não informado,
80132,Não possui,Não possui,Não possui,
80130,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80134,Não informado,Não possui,Não possui,
80135,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,Não possui,Acesso e mobilidade (Locomoção)
80133,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille, Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Sinalização visual, Audioguia","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
80136,Não possui,Não possui,Não possui,
80137,Não possui,Não possui,Não possui,
80138,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
80139,Não possui,Não possui,Não possui,
80140,Não possui,Não possui,Não possui,
80141,Não possui,Não possui,Não possui,
80143,"Banheiros adaptados, Elevador adaptado",Guia multimídia (audioguia com monitor),Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80144,Não informado,Não informado,Não informado,
80145,Não informado,Não informado,Não informado,
80146,Não informado,Não informado,Não informado,
80147,Não possui,Não possui,Não possui,
80148,Não possui,Não possui,Não possui,
80149,Não possui,Não possui,Não possui,
80150,Não possui,Não possui,Não informado,
80151,Não informado,Não informado,Não informado,
80152,Não possui,Não possui,Não possui,
80153,Não possui,Não possui,Não possui,
80154,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80155,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Banheiros adaptados, Elevador adaptado, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Sinalização tátil","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
80156,Não possui,Não possui,Não possui,
80157,Não informado,Não informado,Não informado,
80158,Não informado,Não informado,Não informado,
80159,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Cadeira de rodas para uso do visitante, Banheiros adaptados, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80160,Não informado,Não informado,Não informado,
80161,Não possui,Não possui,Não possui,
80162,Não informado,Não informado,Não informado,
80163,Não possui,Não possui,Não possui,
80164,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Algumas atividades educativas destinadas a pessoas com deficiência visual,Material de divulgação impresso,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80165,"Corrimão nas escadas e rampas, Rampa de acesso, Cadeira de rodas para uso do visitante",Guia multimídia (audioguia com monitor),"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80166,Não possui,Não possui,Não possui,
80168,Não possui,Não possui,Não possui,
80169,Não possui,Não possui,Não possui,
80170,Não possui,Não possui,Não possui,
80171,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado",Guia multimídia (audioguia com monitor),Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80172,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,Não possui,Acesso e mobilidade (Locomoção)
80173,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80174,Não possui,Não possui,Não possui,
80175,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80176,Corrimão nas escadas e rampas,Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80177,Não informado,Não informado,Não informado,
80178,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80179,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado","Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador","Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
80180,Não possui,Não possui,Não possui,
80181,"Rampa de acesso, Circuito de visitação adaptado",Tradutor de Língua Brasileira de Sinais (LIBRAS),"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80182,Não possui,Não possui,Não possui,
80183,Não informado,Não informado,Não informado,
80184,Não possui,Não possui,Não possui,
80185,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Site em outros idiomas","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80186,Não informado,Não informado,Não informado,
80187,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
80188,Não possui,Não possui,Não possui,
80189,Não possui,Não possui,Não possui,
80190,Não possui,Não possui,Não possui,
80191,Não informado,Não informado,Não informado,
80192,Não informado,Não informado,Não informado,
80193,Não possui,Não possui,Não possui,
80194,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado",Guia multimídia (audioguia com monitor),"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80195,Não possui,Não possui,Não possui,
80196,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80197,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Banheiros adaptados, Elevador adaptado, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
80198,Não possui,Não possui,Não possui,
80199,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80200,Não possui,Não possui,Não possui,
80201,Não possui,Não possui,Não possui,
80202,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
80203,Não possui,Não possui,"Guia, monitor e/ou mediador",
80204,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
80205,Não possui,Não possui,Não possui,
80206,Não possui,Não possui,"Guia, monitor e/ou mediador",
80207,Não possui,Não possui,Não possui,
80208,Não possui,Não possui,Não possui,
80209,Não possui,Não possui,Não possui,
80210,Corrimão nas escadas e rampas,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80212,Não possui,Não possui,Não possui,
80211,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado",Não possui,"Sinalização visual, Audioguia","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80213,Não possui,Não possui,Não possui,
80214,Não possui,Não possui,Não possui,
80215,Não informado,Não informado,Não informado,
80217,Não informado,Não informado,Não informado,
80218,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado",Guia multimídia (audioguia com monitor),Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80219,Não possui,Não possui,Não possui,
80221,Não possui,Não possui,Não possui,
80223,Não possui,Não possui,Não possui,
80225,Não possui,Não possui,"Guia, monitor e/ou mediador",
80222,Não possui,Não possui,"Guia, monitor e/ou mediador",
80226,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Não possui,Legendas em inglês e espanhol,Acesso e mobilidade (Locomoção)
80224,Não possui,Não possui,Não possui,
80227,Não possui,Não possui,Não possui,
80228,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
80229,Não possui,Não possui,Não possui,
80230,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado","Sinalização tátil, Texto/Etiquetas em Braille",Material de divulgação impresso,"Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80231,Não possui,Não possui,Não possui,
80232,"Sanitário adaptado, Banheiros adaptados",Caixa das Sensações: para identificar minerais e rochas,Não possui,Acesso e mobilidade (Locomoção)
80233,Não possui,Não possui,Não possui,
80234,Não possui,Não possui,Não possui,
80235,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
80236,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado",Não possui,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80237,Não possui,Não possui,Não possui,
80239,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Bebedouro adaptado","Sinalização tátil, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Material de divulgação impresso","Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80240,"Corrimão nas escadas e rampas, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80241,Não possui,Não possui,Não possui,
80242,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80243,Não possui,"Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis",Audioguia,Recursos de Comunicação (Auditiva e Idiomas)
80244,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille, Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Sinalização visual, Audioguia","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
80245,Não possui,Não possui,Material de divulgação impresso,Apoio humano ou equipamentos para assistência
80246,"Corrimão nas escadas e rampas, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Bebedouro adaptado",Maquetes táteis ou mapas em relevo,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80247,Não possui,Não possui,Não possui,
80248,"Rampa de acesso, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80249,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
80250,Não informado,Não informado,Não informado,
80251,Não possui,Não possui,Não possui,
80252,Não possui,o site é adaptado para pessoas com deficiências visuais e tem texto para pessoas com deficiâncias auditivas,"Site em outros idiomas, Opção de site em inglês",Recursos de Comunicação (Auditiva e Idiomas)
80253,Não possui,Não possui,Não possui,
80254,Não possui,Não possui,Não possui,
80255,Não possui,Não possui,Não possui,
80256,Não possui,Não possui,Não possui,
80257,Cadeira de rodas para uso do visitante,Obras e reproduções táteis,Não possui,Apoio humano ou equipamentos para assistência
80259,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,Não possui,Acesso e mobilidade (Locomoção)
80260,Rampa de acesso,Sinalização tátil,Não possui,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
80261,Não informado,Não informado,Não informado,
80262,Não possui,Não possui,Não possui,
80263,Não possui,Não possui,Não possui,
80264,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
80265,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80266,Não informado,Não informado,Não informado,
80267,"Rampa de acesso, Sanitário adaptado, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80268,Não possui,Não possui,Não possui,
80269,Não possui,Não possui,Não possui,
80270,Não informado,Não informado,Não informado,
80271,Não possui,Não possui,Não possui,
80272,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não informado,Não informado,Acesso e mobilidade (Locomoção)
80273,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
80274,Não informado,Não informado,Não informado,
80275,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80276,Não possui,Não possui,Não possui,
80277,Não informado,Não informado,Não informado,
80278,Não informado,Não informado,Não informado,
80280,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados","Guia multimídia (audioguia com monitor), Sinalização tátil, Texto/Etiquetas em Braille","Sinalização visual, Material de divulgação impresso","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
80279,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80281,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados",Não informado,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80282,"Rampa de acesso, Sanitário adaptado, Circuito de visitação adaptado, Bebedouro adaptado",Não informado,Não informado,"Acesso e mobilidade (Locomoção)"
80283,Não informado,Não informado,Não informado,
80284,Não possui,Não possui,Material de divulgação impresso,Apoio humano ou equipamentos para assistência
80286,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado",Texto/Etiquetas em Braille,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80287,Não possui,Não possui,Não possui,
80288,Não possui,Não possui,Não possui,
80289,Não possui,Não possui,Não possui,
80290,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80291,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados",Não possui,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
